Sep 27 05:15:41.745 - [DEBUG] launcher web_control 127.0.0.1:55062 GET /config?cmd=get_config 
Sep 27 05:15:45.491 - [DEBUG] launcher web_control 127.0.0.1:55064 GET /config?cmd=get_config 
Sep 27 05:17:59.862 - [DEBUG] launcher web_control 127.0.0.1:55064 GET /config?cmd=get_config 
Sep 27 05:18:03.851 - [DEBUG] launcher web_control 127.0.0.1:55062 GET /config?cmd=get_config 
Sep 27 05:18:05.767 - [DEBUG] launcher web_control 127.0.0.1:55062 GET /config?cmd=get_config 
Sep 27 05:18:08.274 - [DEBUG] launcher web_control 127.0.0.1:55064 GET /config?cmd=get_config 
Sep 27 05:18:11.190 - [DEBUG] launcher web_control 127.0.0.1:55062 GET /config?cmd=get_config 
Sep 27 05:18:11.227 - [DEBUG] launcher web_control 127.0.0.1:55064 GET /favicon.ico 
Sep 27 05:18:12.793 - [DEBUG] launcher web_control 127.0.0.1:55064 GET /config?cmd=get_config 
Sep 27 05:18:12.823 - [DEBUG] launcher web_control 127.0.0.1:55064 GET /favicon.ico 
Sep 27 05:18:14.175 - [DEBUG] launcher web_control 127.0.0.1:55064 GET /config?cmd=get_config 
Sep 27 05:18:14.218 - [DEBUG] launcher web_control 127.0.0.1:55064 GET /favicon.ico 
Sep 27 05:18:15.245 - [DEBUG] launcher web_control 127.0.0.1:55064 GET /config?cmd=get_config 
Sep 27 05:18:15.283 - [DEBUG] launcher web_control 127.0.0.1:55064 GET /favicon.ico 
Sep 27 05:18:15.654 - [DEBUG] launcher web_control 127.0.0.1:55064 GET /config?cmd=get_config 
Sep 27 05:18:15.710 - [DEBUG] launcher web_control 127.0.0.1:55064 GET /favicon.ico 
Sep 27 05:40:58.552 - [DEBUG] launcher web_control 127.0.0.1:60315 GET /img/logo.png 
Sep 27 05:40:58.561 - [DEBUG] launcher web_control 127.0.0.1:60315 GET /img/fixed-width.png 
Sep 27 05:40:58.563 - [DEBUG] launcher web_control 127.0.0.1:60315 GET /img/quit.png 
